Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-24 15:54:46,2022-06-24 16:01:42,6m - 55.909s,ERROR
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-24 15:54:46,2022-06-24 15:55:12,26.494s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-24 15:54:47,2022-06-24 15:55:04,17.143s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-24 15:55:04,2022-06-24 15:55:12,8.651s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-06-24 15:55:12,2022-06-24 15:55:15,2.142s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-24 15:55:13,2022-06-24 15:55:15,1.611s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-06-24 15:55:15,2022-06-24 15:55:17,2.710s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-24 15:55:15,2022-06-24 15:55:17,2.295s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-06-24 15:55:17,2022-06-24 15:55:19,1.900s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-24 15:55:18,2022-06-24 15:55:19,1.620s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-06-24 15:55:19,2022-06-24 15:55:31,11.653s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:55:20,2022-06-24 15:55:31,11.115s,PASSED
,,,,,,,
Test Cases/testing/OTP,,,,2022-06-24 15:55:31,2022-06-24 15:56:14,43.288s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-24 15:55:31,2022-06-24 15:56:14,42.948s,PASSED
,,,,,,,
Test Cases/testing/Welcome OnBoarding,,,,2022-06-24 15:56:14,2022-06-24 15:56:21,6.487s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-24 15:56:15,2022-06-24 15:56:21,5.768s,PASSED
,,,,,,,
Test Cases/testing/Referral Screen,,,,2022-06-24 15:56:21,2022-06-24 15:56:23,1.859s,PASSED
"if (waitForElementPresent(Heart_Icon, 30))",,,,2022-06-24 15:56:21,2022-06-24 15:56:23,1.537s,PASSED
,,,,,,,
Test Cases/testing/First Name,,,,2022-06-24 15:56:23,2022-06-24 15:56:29,6.521s,PASSED
"if (waitForElementPresent(back, 30))",,,,2022-06-24 15:56:23,2022-06-24 15:56:29,5.978s,PASSED
,,,,,,,
Test Cases/testing/Birthday,,,,2022-06-24 15:56:29,2022-06-24 15:56:41,12.147s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:56:30,2022-06-24 15:56:41,11.656s,PASSED
,,,,,,,
Test Cases/testing/Identifications,,,,2022-06-24 15:56:41,2022-06-24 15:57:06,24.334s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:56:42,2022-06-24 15:57:06,23.904s,PASSED
,,,,,,,
Test Cases/testing/Into,,,,2022-06-24 15:57:36,2022-06-24 15:58:07,30.647s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:57:36,2022-06-24 15:58:07,30.412s,PASSED
,,,,,,,
Test Cases/testing/Height Scale,,,,2022-06-24 15:58:37,2022-06-24 15:58:42,5.154s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:58:37,2022-06-24 15:58:42,5.021s,PASSED
,,,,,,,
Test Cases/testing/Ethnicity,,,,2022-06-24 15:58:42,2022-06-24 15:58:55,12.884s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:58:43,2022-06-24 15:58:55,12.172s,PASSED
,,,,,,,
Test Cases/testing/Religion,,,,2022-06-24 15:58:59,2022-06-24 15:59:01,1.360s,ERROR
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 15:59:00,2022-06-24 15:59:01,0.943s,PASSED
,,,,,,,
Test Cases/testing/Relationship,,,,2022-06-24 16:00:32,2022-06-24 16:00:47,14.862s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 16:00:32,2022-06-24 16:00:47,14.589s,PASSED
,,,,,,,
Test Cases/testing/Family Plan,,,,2022-06-24 16:01:03,2022-06-24 16:01:07,3.802s,ERROR
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 16:01:04,2022-06-24 16:01:07,3.485s,PASSED
,,,,,,,
Test Cases/testing/Education,,,,2022-06-24 16:01:38,2022-06-24 16:01:42,3.288s,ERROR
"if (waitForElementPresent(Back, 30))",,,,2022-06-24 16:01:39,2022-06-24 16:01:42,3.025s,PASSED
