Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Staging,,,,2022-09-19 15:35:15,2022-09-19 15:36:21,1m - 6.896s,PASSED
,,,,,,,
Test Cases/testing/Welcome OnBoarding,,,,2022-09-19 15:35:15,2022-09-19 15:35:41,26.408s,PASSED
"startExistingApplication(packageID, STOP_ON_FAILURE)",,,,2022-09-19 15:35:16,2022-09-19 15:35:31,15.206s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-09-19 15:35:31,2022-09-19 15:35:41,10.088s,PASSED
,,,,,,,
Test Cases/testing/Referral Screen,,,,2022-09-19 15:35:41,2022-09-19 15:35:43,1.978s,PASSED
"if (waitForElementPresent(Heart_Icon, 30))",,,,2022-09-19 15:35:42,2022-09-19 15:35:43,1.549s,PASSED
,,,,,,,
Test Cases/testing/First Name,,,,2022-09-19 15:35:47,2022-09-19 15:35:51,4.626s,PASSED
"if (waitForElementPresent(back, 30))",,,,2022-09-19 15:35:47,2022-09-19 15:35:51,4.344s,PASSED
,,,,,,,
Test Cases/testing/Birthday,,,,2022-09-19 15:35:51,2022-09-19 15:36:03,12.239s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:35:52,2022-09-19 15:36:03,11.735s,PASSED
,,,,,,,
Test Cases/testing/Identifications,,,,2022-09-19 15:36:03,2022-09-19 15:36:06,3.005s,PASSED
androidDriver = getDriver(),,,,2022-09-19 15:36:04,2022-09-19 15:36:04,0.000s,PASSED
driver = getDriver(),,,,2022-09-19 15:36:04,2022-09-19 15:36:04,0.000s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2022-09-19 15:36:04,2022-09-19 15:36:04,0.004s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:36:04,2022-09-19 15:36:06,2.399s,PASSED
,,,,,,,
Test Cases/testing/Into,,,,2022-09-19 15:36:06,2022-09-19 15:36:09,2.347s,PASSED
androidDriver = getDriver(),,,,2022-09-19 15:36:07,2022-09-19 15:36:07,0.000s,PASSED
driver = getDriver(),,,,2022-09-19 15:36:07,2022-09-19 15:36:07,0.000s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2022-09-19 15:36:07,2022-09-19 15:36:07,0.000s,PASSED
"if (waitForElementPresent(back, 30))",,,,2022-09-19 15:36:07,2022-09-19 15:36:09,1.713s,PASSED
,,,,,,,
Test Cases/testing/Height Scale,,,,2022-09-19 15:36:09,2022-09-19 15:36:11,2.462s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:36:09,2022-09-19 15:36:11,2.164s,PASSED
,,,,,,,
Test Cases/testing/Ethnicity,,,,2022-09-19 15:36:11,2022-09-19 15:36:14,3.119s,PASSED
androidDriver = getDriver(),,,,2022-09-19 15:36:12,2022-09-19 15:36:12,0.001s,PASSED
driver = getDriver(),,,,2022-09-19 15:36:12,2022-09-19 15:36:12,0.000s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2022-09-19 15:36:12,2022-09-19 15:36:12,0.001s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:36:12,2022-09-19 15:36:14,2.316s,PASSED
,,,,,,,
Test Cases/testing/Religion,,,,2022-09-19 15:36:14,2022-09-19 15:36:18,3.352s,PASSED
androidDriver = getDriver(),,,,2022-09-19 15:36:15,2022-09-19 15:36:15,0.001s,PASSED
driver = getDriver(),,,,2022-09-19 15:36:15,2022-09-19 15:36:15,0.001s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2022-09-19 15:36:15,2022-09-19 15:36:15,0.000s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:36:15,2022-09-19 15:36:18,2.470s,PASSED
,,,,,,,
Test Cases/testing/Relationship,,,,2022-09-19 15:36:18,2022-09-19 15:36:21,3.620s,PASSED
androidDriver = getDriver(),,,,2022-09-19 15:36:18,2022-09-19 15:36:18,0.000s,PASSED
driver = getDriver(),,,,2022-09-19 15:36:18,2022-09-19 15:36:18,0.000s,PASSED
action = new org.openqa.selenium.interactions.Actions(driver),,,,2022-09-19 15:36:18,2022-09-19 15:36:18,0.001s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-09-19 15:36:18,2022-09-19 15:36:21,2.948s,PASSED
